iter	Logloss
0	0.4146510906
1	0.2670536763
2	0.1706554171
3	0.1262980779
4	0.09639160017
5	0.0762957461
6	0.06343113495
7	0.05557776984
8	0.05136060043
9	0.04662344322
10	0.04305436502
11	0.04157168426
12	0.03947072083
13	0.03795219465
14	0.03705956181
15	0.03548115729
16	0.03371748875
17	0.03241104417
18	0.03099659485
19	0.03011859105
20	0.02887365202
21	0.02819637608
22	0.02750991941
23	0.02691717438
24	0.02644623184
25	0.0259340127
26	0.02529939916
27	0.02465802538
28	0.02413921951
29	0.02346059923
30	0.02305832006
31	0.0226447168
32	0.02233550483
33	0.02191773815
34	0.02165911608
35	0.02131533953
36	0.02102245363
37	0.02071731058
38	0.02051330206
39	0.02021070109
40	0.01985735569
41	0.01941735358
42	0.0192319138
43	0.01900293577
44	0.01866526523
45	0.01830886669
46	0.01820271918
47	0.01796320433
48	0.01753674414
49	0.01733935222
50	0.01710937771
51	0.01690468594
52	0.01674048971
53	0.01654822593
54	0.01641112514
55	0.01620540855
56	0.01600834484
57	0.01594463513
58	0.01569902266
59	0.01525396439
60	0.01504839923
61	0.01499695804
62	0.01475888637
63	0.01463878696
64	0.01451839005
65	0.0143825612
66	0.01422286192
67	0.01413261298
68	0.01402764619
69	0.01388889788
70	0.01378734619
71	0.01367947097
72	0.01359474353
73	0.01345352382
74	0.01330890925
75	0.01320518679
76	0.01310284838
77	0.01301651145
78	0.01294454878
79	0.01282638117
80	0.01276452073
81	0.01257892631
82	0.01240124831
83	0.0122605894
84	0.01211924228
85	0.01198504462
86	0.01184961155
87	0.01180155629
88	0.01170750117
89	0.01154614728
90	0.01147598626
91	0.01138973832
92	0.01135608725
93	0.01130135841
94	0.01124503951
95	0.01118463315
96	0.01109233616
97	0.01098165513
98	0.01089938105
99	0.0108094012
100	0.01076135754
101	0.01066637581
102	0.01063466763
103	0.01056398467
104	0.01046149057
105	0.01036585814
106	0.01027998906
107	0.0102213446
108	0.0101028119
109	0.01001446841
110	0.009945005258
111	0.009837471286
112	0.009770417324
113	0.009686991799
114	0.009603852729
115	0.009564898487
116	0.009526494832
117	0.009500381743
118	0.009447257163
119	0.0094014566
120	0.009329526946
121	0.00922246649
122	0.009189069265
